timestamp,sync_error_ms,vehicle_count,pm25,status
00:32:40.715,38.584,11,23.91,WITHIN_TOLERANCE
00:32:40.830,14.725,3,22.31,WITHIN_TOLERANCE
00:32:41.272,12.496,12,21.27,WITHIN_TOLERANCE
00:32:41.377,5.098,2,22.31,WITHIN_TOLERANCE
00:32:41.488,9.961,7,16.61,WITHIN_TOLERANCE
00:32:41.597,9.069,12,22.55,WITHIN_TOLERANCE
00:32:41.706,8.999,9,25.06,WITHIN_TOLERANCE
00:32:41.812,5.603,3,29.22,WITHIN_TOLERANCE
00:32:42.128,5.477,9,20.78,WITHIN_TOLERANCE
00:32:42.234,5.769,3,36.24,WITHIN_TOLERANCE
00:32:42.358,23.512,10,22.25,WITHIN_TOLERANCE
00:32:42.467,5.654,4,31.21,WITHIN_TOLERANCE
00:32:42.573,5.757,11,18.8,WITHIN_TOLERANCE
00:32:42.678,5.369,3,24.96,WITHIN_TOLERANCE
00:32:42.889,5.251,11,25.55,WITHIN_TOLERANCE
00:32:43.209,5.384,7,15.11,WITHIN_TOLERANCE
00:32:43.423,5.549,11,23.19,WITHIN_TOLERANCE
00:32:43.635,5.311,7,18.94,WITHIN_TOLERANCE
00:32:43.740,5.435,10,28.74,WITHIN_TOLERANCE
00:32:43.846,5.499,2,20.31,WITHIN_TOLERANCE
00:32:43.952,5.622,11,23.29,WITHIN_TOLERANCE
00:32:44.057,5.594,8,28.54,WITHIN_TOLERANCE
00:32:44.163,5.557,2,22.35,WITHIN_TOLERANCE
00:32:44.269,5.466,9,28.54,WITHIN_TOLERANCE
00:32:44.378,9.624,6,23.14,WITHIN_TOLERANCE
00:32:44.803,6.352,6,19.0,WITHIN_TOLERANCE
00:32:44.908,5.149,11,22.22,WITHIN_TOLERANCE
00:32:45.437,5.786,3,23.58,WITHIN_TOLERANCE
00:32:45.648,5.446,11,33.81,WITHIN_TOLERANCE
00:32:46.176,5.387,12,29.92,WITHIN_TOLERANCE
00:32:46.391,5.223,7,24.22,WITHIN_TOLERANCE
00:32:46.710,6.682,4,18.0,WITHIN_TOLERANCE
00:32:46.921,5.397,10,21.22,WITHIN_TOLERANCE
00:32:47.027,5.524,3,30.08,WITHIN_TOLERANCE
00:32:47.132,5.614,10,26.39,WITHIN_TOLERANCE
00:32:47.238,5.690,6,19.32,WITHIN_TOLERANCE
00:32:47.344,5.454,11,26.57,WITHIN_TOLERANCE
00:32:47.452,8.248,5,21.79,WITHIN_TOLERANCE
00:32:47.771,5.460,8,25.48,WITHIN_TOLERANCE
00:32:48.093,5.213,2,18.63,WITHIN_TOLERANCE
00:32:48.463,5.275,2,27.32,WITHIN_TOLERANCE
00:32:48.579,15.508,7,16.78,WITHIN_TOLERANCE
00:32:48.799,14.567,6,22.85,WITHIN_TOLERANCE
00:32:48.904,5.481,12,20.41,WITHIN_TOLERANCE
00:32:49.010,5.529,5,35.92,WITHIN_TOLERANCE
00:32:49.222,5.821,9,30.85,WITHIN_TOLERANCE
00:32:49.327,5.465,12,24.86,WITHIN_TOLERANCE
00:32:49.433,5.656,3,21.75,WITHIN_TOLERANCE
00:32:49.539,5.386,6,21.07,WITHIN_TOLERANCE
00:32:49.644,5.331,11,29.11,WITHIN_TOLERANCE
00:32:49.750,5.568,8,31.4,WITHIN_TOLERANCE
00:32:49.856,5.699,5,16.48,WITHIN_TOLERANCE
00:32:49.961,5.565,10,24.6,WITHIN_TOLERANCE
